"Ordered on 6 August 2024,Amazon Pay Balance,  738.99,Lux Cottswool Men's Cotton Thermal Set (COTT_BLACK_FS_RN_TRO_SET_90)"
"Ordered on 6 August 2024,Amazon Pay Balance,  158.00,ZORO Cotton D buckle belt for men, Combo pack Black+Green"
"Ordered on 6 August 2024,Amazon Pay Balance,  329.00,CREATURE Formal/Casual Black Color Genuine Leather Belts For Men (Length- 46 inches||40MM||BL-042-BLK) (BLACK)"
"Ordered on 6 August 2024,Mastercardending in 8968,  387.00,Dixcy Scott Men's Cotton Regulart Fit Solid (Pack of 3) (Titan Trunk ASSTD-P3_Assorted_L)"
"Ordered on 6 August 2024,Mastercardending in 8968,  2,048.00,Allen Solly Men's Solid Regular Fit Polo (ASKPQRGFY42227_Yellow L)"
"Ordered on 6 August 2024,Mastercardending in 8968,  1,906.75,Levi's Men's Slim Jeans (A7087-0117_Blue)"
"Ordered on 3 August 2024,Amazon Pay Later,  1,287.00,Puma men Zod Runner NM Asphalt-Pureed Pumpkin-Silver Running Shoe - 9 UK (37079010)"
"Ordered on 3 August 2024,Amazon Pay Later,  309.00,Clazkit Large Stainless Steel Cutting Board Vegetable,Fruit,Bread & Meat Durable Safe & Heavy Duty (360 x 250 x 1mm)"
"Ordered on 1 August 2024,Amazon Pay Later,  569.00,CLUB SPUNKY Casual Tan Color Genuine Leather Belt with Double Prong Buckle for Jeans and Casual Wear belt for men stylish Leather for Mens/Boys ||CSBL-BRBKL-05|| (36, Tan)"
"Ordered on 1 August 2024,Amazon Pay Later,  179.00,Pigeon by Stovekraft Edge Flora Stainless steel Knife 5 Inch (Blue)"
"Ordered on 1 August 2024,Amazon Pay Later,  4,018.00,Woodland Mens OGC 3884121 Camel Loafer - 7 UK (41 EU) (OGC 3884121)"
